City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,kota tinggi,1.7381,103.8999,79.29,95,100,0.65,MY,1670193798
192,albion,42.2431,-84.753,33.98,51,0,6.91,US,1670193536
193,aginskoye,51.1,114.53,3.07,79,16,18.99,RU,1670193798
194,buzmeyin,38.0507,58.2056,26.33,93,100,6.91,TM,1670193799
195,saquena,-4.6667,-73.5167,81.77,67,90,0.96,PE,1670193799
196,souillac,-20.5167,57.5167,77.38,78,40,8.05,MU,1670193800
197,san quintin,30.4833,-115.95,64.06,75,100,14.58,MX,1670193800
198,amilly,47.9728,2.7719,40.14,87,100,1.48,FR,1670193801
199,khatanga,71.9667,102.5,-0.65,97,100,7.14,RU,1670193802
200,olafsvik,64.8945,-23.7142,42.96,75,95,5.06,IS,1670193802
201,klaksvik,62.2266,-6.589,40.12,76,77,12.12,FO,1670193803
202,caravelas,-17.7125,-39.2481,74.19,74,100,8.14,BR,1670193803
203,port augusta,-32.5,137.7667,70.0,55,81,18.28,AU,1670193803
204,kaka,37.3482,59.6143,32.16,46,76,4.65,TM,1670193804
205,neiafu,-18.65,-173.9833,84.88,79,20,9.22,TO,1670193804
206,rawson,-43.3002,-65.1023,75.38,27,9,3.2,AR,1670193805
207,nuuk,64.1835,-51.7216,31.87,79,100,28.99,GL,1670193778
208,cartagena,10.3997,-75.5144,82.02,74,40,9.22,CO,1670193601
209,bobo dioulasso,11.1771,-4.2979,81.05,41,0,8.05,BF,1670193806
210,port lincoln,-34.7333,135.8667,61.83,61,100,16.4,AU,1670193806
211,husavik,66.0449,-17.3389,32.74,71,81,11.3,IS,1670193807
212,bilibino,68.0546,166.4372,-15.57,100,100,1.86,RU,1670193807
213,dingle,10.9995,122.6711,75.74,93,100,8.19,PH,1670193808
214,pultusk,52.7025,21.0828,34.83,96,100,13.27,PL,1670193808
215,forest grove,45.5198,-123.1107,35.51,85,100,0.0,US,1670193808
216,saldanha,-33.0117,17.9442,57.25,80,1,16.13,ZA,1670193525
217,massakory,12.996,15.7293,75.9,13,0,12.3,TD,1670193809
218,barcelos,41.5388,-8.6151,50.14,88,10,6.53,PT,1670193709
219,santa maria del oro,25.9333,-105.3667,78.76,25,77,6.69,MX,1670193810
220,mampong,7.0627,-1.4001,74.16,81,88,5.28,GH,1670193810
221,kaeo,-35.1,173.7833,68.94,54,0,7.18,NZ,1670193810
222,itarema,-2.9248,-39.9167,79.5,74,60,16.42,BR,1670193811
223,linhai,28.85,121.1167,45.93,86,100,4.7,CN,1670193811
224,ahipara,-35.1667,173.1667,66.78,59,0,4.54,NZ,1670193812
225,kushima,31.4583,131.2333,51.6,93,100,7.05,JP,1670193560
